market,ma,ngay,du_mua,du_ban,gia,gia_tri_thay_doi,phan_tram_thay_doi,so_lenh_dat_mua,khoi_luong_dat_mua,kl_trung_binh_1_lenh_mua,so_lenh_dat_ban,khoi_luong_dat_ban,kl_trung_binh_1_lenh_ban,chenh_lech_mua_ban
VN30,NVL,2022-12-13,35558800,46504400,18.2,0.4,0.0225,37790,90725900,2401,30759,101671500,3305,-10945600
VN30,STB,2022-12-13,25851200,13193200,22.55,1.25,0.0587,7931,51837700,6536,9932,39179700,3945,12658000
VN30,SSI,2022-12-13,24220000,13761400,20.4,1.25,0.0653,13852,49572700,3579,9103,39114100,4297,10458600
VN30,HPG,2022-12-13,15106900,14817700,19.0,0.4,0.0215,12776,39449900,3088,9389,39160700,4171,289200
VN30,VPB,2022-12-13,13006000,10861200,17.1,0.45,0.027000000000000003,5175,31054300,6001,4852,28909500,5958,2144800
VN30,MBB,2022-12-13,12631700,6697200,18.0,0.3,0.0169,5031,20599600,4095,3848,14665100,3811,5934500
VN30,POW,2022-12-13,9824200,14785700,11.4,0.25,0.022400000000000003,4449,16519400,3713,3424,21480900,6274,-4961500
VN30,PDR,2022-12-13,7888600,12031400,15.5,0.0,0.0,8454,24405500,2887,4788,28548300,5962,-4142800
VN30,TPB,2022-12-13,6622000,6045600,23.0,0.1,0.0044,2556,16316900,6384,3225,15740500,4881,576400
VN30,TCB,2022-12-13,4125300,2956700,28.8,1.6,0.0588,3339,11442200,3427,3297,10273600,3116,1168600
VN30,VIB,2022-12-13,3334000,2248900,20.75,0.4,0.0197,2246,8393500,3737,1214,7308400,6020,1085100
VN30,CTG,2022-12-13,3293100,3297300,28.15,0.7,0.0255,2977,7205300,2420,3486,7209500,2068,-4200
VN30,HDB,2022-12-13,2341200,4399700,16.45,0.25,0.0154,3412,6073100,1780,2901,8131600,2803,-2058500
VN30,KDH,2022-12-13,2293200,1087800,27.9,-0.05,-0.0018,2122,4636800,2185,1311,3431400,2617,1205400
VN30,ACB,2022-12-13,2058300,2428200,23.05,0.55,0.024399999999999998,1447,4752000,3284,1880,5121900,2724,-369900
VN30,VHM,2022-12-13,1911300,976500,53.0,2.5,0.0495,3711,6161900,1660,2373,5227100,2203,934800
VN30,GVR,2022-12-13,1844700,2063600,15.0,0.2,0.013500000000000002,1653,4154200,2513,1198,4373100,3650,-218900
VN30,VNM,2022-12-13,1832400,1574600,78.0,-0.5,-0.0064,6322,5442800,861,4627,5185000,1121,257800
VN30,MWG,2022-12-13,1776400,1499700,46.4,0.5,0.0109,2533,3732600,1474,1896,3455900,1823,276700
VN30,VIC,2022-12-13,1560400,1846400,61.6,-1.5,-0.023799999999999998,4028,4421500,1098,1770,4707500,2660,-286000
VN30,BID,2022-12-13,1394400,1255800,38.7,0.6,0.015700000000000002,1558,3100800,1990,1724,2962200,1718,138600
VN30,VRE,2022-12-13,1287000,1008600,28.0,0.95,0.0351,1709,3465600,2028,1919,3187200,1661,278400
VN30,BVH,2022-12-13,1219800,1177500,49.9,1.4,0.028900000000000002,2667,2670900,1001,1905,2628600,1380,42300
VN30,VCB,2022-12-13,1175700,712300,78.2,0.8,0.0103,2489,3408200,1369,1730,2944800,1702,463400
VN30,PLX,2022-12-13,676500,693500,31.4,0.3,0.0096,1636,1574100,962,1053,1591100,1511,-17000
VN30,FPT,2022-12-13,573400,904800,77.2,0.2,0.0026,1582,1473100,931,1258,1804500,1434,-331400
VN30,GAS,2022-12-13,365500,354900,105.6,0.6,0.005699999999999999,1140,766400,672,940,755800,804,10600
VN30,MSN,2022-12-13,319000,373300,97.0,0.0,0.0,1274,1812100,1422,902,1866400,2069,-54300
VN30,SAB,2022-12-13,169500,219900,178.0,-0.3,-0.0017000000000000001,1455,531400,365,1469,581800,396,-50400
VN30,VJC,2022-12-13,101500,112100,112.0,0.6,0.0054,1311,583200,445,687,593800,864,-10600
